,REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILI AGE 0-4,ILI AGE 25-49,ILI AGE 25-64,ILI AGE 5-24,ILI AGE 50-64,ILI AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
117,Census Regions,New England,2018,1,2.94107,2.72318,265,205,323,317,118,112,1017,138,37346,2939,388,78,15.85576,13.2018,2.65396
118,Census Regions,Mid-Atlantic,2018,1,4.26386,3.49929,1791,1595,2403,1703,808,749,6646,320,189924,5445,703,276,17.979770000000002,12.9109,5.06887
119,Census Regions,East North Central,2018,1,4.43574,4.54008,875,945,1518,886,573,715,3994,271,87972,13129,3307,291,27.404970000000002,25.1885,2.21647
120,Census Regions,West North Central,2018,1,6.38587,5.08062,480,412,618,562,206,158,1818,170,35783,3918,899,123,26.08476,22.9454,3.13936
121,Census Regions,South Atlantic,2018,1,4.1041,4.66995,1712,2682,3966,2218,1284,945,8841,384,189317,10078,1910,381,22.73271,18.9522,3.78051
122,Census Regions,East South Central,2018,1,8.45863,9.58057,1410,2210,3281,1759,1071,704,7154,213,74672,3518,690,118,22.967579999999998,19.6134,3.35418
123,Census Regions,West South Central,2018,1,11.4958,10.7392,1496,3198,4626,2268,1428,854,9244,240,86077,9032,2249,463,30.02662,24.9004,5.12622
124,Census Regions,Mountain,2018,1,4.24693,4.09469,723,850,1438,877,588,802,3840,230,93780,5636,1182,281,25.95811,20.9723,4.98581
125,Census Regions,Pacific,2018,1,6.27257,5.56687,674,1273,2065,1158,792,831,4728,269,84931,7621,1690,524,29.05134,22.1756,6.87574
126,Census Regions,New England,2018,2,2.86319,2.31838,259,257,392,447,135,122,1220,140,52623,3104,547,105,21.005129999999998,17.6224,3.38273
127,Census Regions,Mid-Atlantic,2018,2,5.07339,3.88518,1914,1915,2861,2446,946,915,8136,321,209411,6681,1043,370,21.14949,15.6114,5.53809
128,Census Regions,East North Central,2018,2,4.67144,4.54119,975,1070,1702,1444,632,619,4740,277,104378,14581,3902,351,29.16814,26.7609,2.40724
129,Census Regions,West North Central,2018,2,6.08621,4.89103,503,388,589,769,201,179,2040,170,41709,4529,1127,171,28.65977,24.8841,3.77567
130,Census Regions,South Atlantic,2018,2,5.1559,5.61311,1986,3722,5520,3798,1798,1233,12537,388,223352,12331,2748,552,26.76182,22.2853,4.47652
131,Census Regions,East South Central,2018,2,9.55267,10.7124,1368,2545,3683,2728,1138,749,8528,214,79609,3971,904,120,25.78691,22.765,3.02191
132,Census Regions,West South Central,2018,2,11.8705,10.8275,1679,3445,5067,3266,1622,957,10969,241,101307,9535,2416,648,32.13421,25.3382,6.79601
133,Census Regions,Mountain,2018,2,3.66972,3.5049,683,802,1347,1051,545,695,3776,219,107735,5960,1176,302,24.79861,19.7315,5.06711
134,Census Regions,Pacific,2018,2,4.65306,4.66232,715,1256,2030,1454,774,777,4976,281,106728,7584,1286,627,25.22421,16.9568,8.26741
135,Census Regions,New England,2018,3,3.72799,3.30443,357,321,503,717,182,138,1715,139,51900,3457,672,140,23.48855,19.4388,4.04975
136,Census Regions,Mid-Atlantic,2018,3,6.02206,5.13547,2396,2378,3668,3699,1290,950,10713,326,208608,7094,1253,537,25.23258,17.6628,7.56978
137,Census Regions,East North Central,2018,3,4.97824,4.91471,1085,1023,1571,1871,548,489,5016,283,102061,14961,4065,462,30.25863,27.1706,3.08803
138,Census Regions,West North Central,2018,3,7.33495,5.93124,621,473,698,1136,225,150,2605,171,43920,4492,1083,175,28.00531,24.1095,3.89581
139,Census Regions,South Atlantic,2018,3,6.81921,7.41819,2560,4497,6506,5241,2009,1389,15696,386,211588,13514,2801,719,26.04711,20.7267,5.32041
140,Census Regions,East South Central,2018,3,10.1991,11.5411,1728,2538,3419,2897,881,593,8637,217,74837,3620,781,154,25.82874,21.5746,4.25414
141,Census Regions,West South Central,2018,3,12.0295,10.8153,1753,2897,4187,3549,1290,737,10226,243,94551,9283,2284,813,33.36204,24.6041,8.75794
142,Census Regions,Mountain,2018,3,3.7417,3.79391,743,772,1265,1355,493,539,3902,231,102849,5895,968,358,22.49364,16.4207,6.07294
143,Census Regions,Pacific,2018,3,4.03831,4.33743,761,1074,1692,1408,618,566,4427,281,102065,6808,875,547,20.887169999999998,12.8525,8.03467
144,Census Regions,New England,2018,4,4.26588,4.0082,409,426,666,1157,240,154,2386,137,59528,4605,1007,262,27.55697,21.8675,5.68947
145,Census Regions,Mid-Atlantic,2018,4,7.45037,6.44131,3203,3234,4879,5597,1645,1243,14922,326,231661,9703,1881,953,29.2075,19.3858,9.8217
