TOTAL B,PERCENT B,REGION TYPE,REGION,WEEK,YEAR,ILI AGE 25-49,ILI AGE 25-64,ILI AGE 50-64,TOTAL PATIENTS
78,2.654,Census Regions,New England,1,2018,205,323,118,37346
276,5.0689,Census Regions,Mid-Atlantic,1,2018,1595,2403,808,189924
291,2.2165,Census Regions,East North Central,1,2018,945,1518,573,87972
123,3.1394,Census Regions,West North Central,1,2018,412,618,206,35783
381,3.7805,Census Regions,South Atlantic,1,2018,2682,3966,1284,189317
118,3.3542,Census Regions,East South Central,1,2018,2210,3281,1071,74672
463,5.1262,Census Regions,West South Central,1,2018,3198,4626,1428,86077
281,4.9858,Census Regions,Mountain,1,2018,850,1438,588,93780
524,6.8757,Census Regions,Pacific,1,2018,1273,2065,792,84931
105,3.3827,Census Regions,New England,2,2018,257,392,135,52623
370,5.5381,Census Regions,Mid-Atlantic,2,2018,1915,2861,946,209411
351,2.4072,Census Regions,East North Central,2,2018,1070,1702,632,104378
171,3.7757,Census Regions,West North Central,2,2018,388,589,201,41709
552,4.4765,Census Regions,South Atlantic,2,2018,3722,5520,1798,223352
120,3.0219,Census Regions,East South Central,2,2018,2545,3683,1138,79609
648,6.796,Census Regions,West South Central,2,2018,3445,5067,1622,101307
302,5.0671,Census Regions,Mountain,2,2018,802,1347,545,107735
627,8.2674,Census Regions,Pacific,2,2018,1256,2030,774,106728
140,4.0498,Census Regions,New England,3,2018,321,503,182,51900
537,7.5698,Census Regions,Mid-Atlantic,3,2018,2378,3668,1290,208608
462,3.088,Census Regions,East North Central,3,2018,1023,1571,548,102061
175,3.8958,Census Regions,West North Central,3,2018,473,698,225,43920
719,5.3204,Census Regions,South Atlantic,3,2018,4497,6506,2009,211588
154,4.2541,Census Regions,East South Central,3,2018,2538,3419,881,74837
813,8.7579,Census Regions,West South Central,3,2018,2897,4187,1290,94551
358,6.0729,Census Regions,Mountain,3,2018,772,1265,493,102849
547,8.0347,Census Regions,Pacific,3,2018,1074,1692,618,102065
262,5.6895,Census Regions,New England,4,2018,426,666,240,59528
953,9.8217,Census Regions,Mid-Atlantic,4,2018,3234,4879,1645,231661
651,3.9097,Census Regions,East North Central,4,2018,1047,1664,617,114989
223,4.4422,Census Regions,West North Central,4,2018,538,783,245,46717
